key,"en","de","fr","es"
STR_DAILYOFFER_TITLE,"DAILY REWARD","TÄGLICHEN BONUS","PRIME QUOTIDIENNE","DIARIO PREMIO"
STR_DAWN_FULL,"DAWN","MORGEN","Aube","Amanecer"
STR_DAWN_INFO,"Dawn is good time for hunting herbivorous\n creatures, because they are less scarable.\n Carnivores are less agressive at dawn.","Das Morgengrauen ist eine ideale Tageszeit\nfür die Jagd auf Pflanzenfresser, da sie sich\nweniger leicht erschrecken. Fleischfresser\nsind im Morgengrauen weniger aggressiv.","L'aube est le meilleur moment pour chasser\nles herbivores, car ils sont moins facilement\neffrayés. Les carnivores sont également\nmoins agressifs.","El amanecer es un buen momento para cazar\n criaturas herbívoras porque son menos\n propensas a asustarse fácilmente.\nLos carnívoros son menos agresivos\nal amanecer."
STR_DAY_FULL,"DAY","TAG","Jour","DÍA"
STR_DAY_INFO,"Day is a best time for hunt, because you can see\n every move of a dinosaur much better than at\n night or dawn. It is good for beginners.","Tagsüber ist die beste Zeit zum Jagen, da die\nBewegungen der Dinosaurier besser erkennbar\nsind als nachts oder im Morgengrauen.\nDies ist eine gute Tageszeit für Neulinge.","Le jour est le meilleur moment pour chasser,\ncar tu décèles les mouvements du gibier\nbien mieux qu'àl'aube ou que de nuit.\nC'est la meilleure période pour les\ndébutants.","El día es el mejor momento para cazar,\n porque podrás ver todos los movimientos\n de los dinosaurios de mejor manera que\n si lo hicieras de noche o al amanecer.\n Es especialmente bueno para\nlos novatos."
STR_DELETE_TROPHY_NO,"cancel","zurück","annuler","cancelar"
STR_DELETE_TROPHY_ORLY,"Do you really want\nto remove this trophy\nfrom your trophy room?","Wollt ihr diese Trophäe wirklich\naus eurem Trophäenzimmer entfernen?","Veux-tu vraiment supprimer ce\ntrophée de ta Salle des Trophées?","¿Quieres quitar este trofeo\nde tu sala de trofeos?"
STR_DELETE_TROPHY_YES,"remove","entfernen","supprimer","quitar"
STR_DINOSAURS_HUNTED,"Dinosaurs hunted down: ","Erlegte Dinosaurier: ","Dinosaures chassés: ","Dinosaurios cazados: "
STR_PARASAUROLOPHUS,"Parasaurolophus","Parasaurolophus","Parasaurolophus","Parasaurolofus"
STR_PARASAUROLOPHUS_INFO,"Length: 15-24 ft (5-8 m)\n Weight: up to 3.5 tons\nDiet: plants\nScore: %d\n\nNot dangerous.\n\nSight: ={^^\nScent: ===^\nHearing: ====","Länge: 5-8 m\n Gewicht: bis zu 3.5 Tonnen\nErnährung: Pflanzen\nPunktzahl: %d\n\nUngefährlich.\n\nSicht: ={^^\nGeruchssinn: ===^\nGehor: ====","Taille: 5 à 8 m\n Poids: jusqu'à 3.5 tonnes\nRégime alimentaire:\nherbivore\nScore: %d\n\nInoffensif.\n\nVue: ={^^\nOdorat: ===^\nOuïe: ====","Altura: 5-8 metros\n Peso: hasta 3.5 toneladas\nDieta: plantas\nPuntuación: %d\n\nNo es peligroso.\n\nVista: ={^^\nOlfato: ===^\nOído: ===="
STR_ANKYLOSAURUS,"Ankylosaurus","Ankylosaurus","Ankylosaure","Anquilosaurio"
STR_ANKYLOSAURUS_INFO,"Length: 12-21 ft (4-7 m)\n Weight: up to 2.5 tons\nDiet: plants\nScore: %d\n\nNot dangerous.\n\nSight: =={^\nScent: ={^^\nHearing: ===^","Länge: 4-7 m\n Gewicht: bis zu 2.5 Tonnen\nErnährung: Pflanzen\nPunktzahl: %d\n\nUngefährlich.\n\nSicht: =={^\nGeruchssinn: ={^^\nGehor: ===^","Taille: 4 à 7 m\n Poids: jusqu'à 2.5 tonnes\nRégime alimentaire:\nherbivore\nScore: %d\n\nInoffensif.\n\nVue: =={^\nOdorat: ={^^\nOuïe: ===^","Altura: 4-7 metros\n Peso: hasta 2.5 toneladas\nDieta: plantas\nPuntuaci: %d\n\nNo es peligroso.\n\nVista: =={^\nOlfato: ={^^\nOído: ===^"
STR_STEGOSAURUS,"Stegosaurus","Stegosaurus","Stégosaure","Estegosaurio"
STR_STEGOSAURUS_INFO,"Length: 18-30 ft (6-10 m)\n Weight: up to 7 tons\nDiet: plants\nScore: %d\n\nNot dangerous.\n\nSight: =={^\nScent: ={^^\nHearing: ===^","Länge: 6-10 m\n Gewicht: bis zu 7 Tonnen\nErnährung: Pflanzen\nPunktzahl: %d\n\nUngefährlich.\n\nSicht: =={^\nGeruchssinn: ={^^\nGehor: ===^","Taille: 6 à 10 m\n Poids: jusqu'à 7 tonnes\nRégime alimentaire:\nherbivore\nScore: %d\n\nInoffensif.\n\nVue: =={^\nOdorat: ={^^\nOuïe: ===^","Altura: 6-10 metros\n Peso: hasta 7 toneladas\nDieta: plantas\nPuntuaci: %d\n\nNo es peligroso.\n\nVista: =={^\nOlfato: ={^^\nOído: ===^"
STR_ALLOSAURUS,"Allosaurus","Allosaurus","Allosaure","Alosaurio"
STR_ALLOSAURUS_INFO,"Length: 12-18 ft (4-6 m)\n Weight: up to 2.5 tons\nDiet: herbivorous dinosaurs\nScore: %d\n\nExtremely dangerous!\n\nSight: ==^^\nScent: ====\nHearing: =^^^","Länge: 4-6 m\n Gewicht: bis zu 2.5 Tonnen\nErnährung: pflanzenfressende\nDinosaurier\nPunktzahl: %d\n\nExtrem gefährlich!\n\nSicht: ==^^\nGeruchssinn: ====\nGehor: =^^^","Taille: 4 à 6 m\n Poids: jusqu'à 2.5 tonnes\nRégime alimentaire:\ndinosaures herbivores\nScore: %d\n\nExtrêmement\ndangereux!\n\nVue: ==^^\nOdorat: ====\nOuïe: =^^^","Altura: 4-6 metros\n Peso: hasta 2.5 toneladas\nDieta: dinosaurios\nherbívoros\nPuntuaci: %d\n\n¡Extremadamente\npeligroso!\n\nVista: ==^^\nOlfato: ====\nOído: =^^^"
STR_CHASMOSAURUS,"Chasmosaurus","Chasmosaurus","Chasmosaure","Chasmosaurio"
STR_CHASMOSAURUS_INFO,"Length: 18-24 ft (6-8 m)\n Weight: up to 4.5 tons\nDiet: fibrous plants\nScore: %d\n\nDangerous if wounded.\n\nSight: ={^^\nScent: =={^\nHearing: ==^^","Länge: 6-8 m\n Gewicht: bis zu 4.5 Tonnen\nErnährung: faserige Pflanzen\nPunktzahl: %d\n\nGefährlich wenn\nverwundet.\n\nSicht: ={^^\nGeruchssinn: =={^\nGehor: ==^^","Taille: 6 à 8 m\n Poids: jusqu'à 4.5 tonnes\nRégime alimentaire:\nplantes fibreuses\nScore: %d\n\nDangereux quand\nil est blessé.\n\nVue: ={^^\nOdorat: =={^\nOuïe: ==^^","Altura: 6-8 metros\n Peso: hasta 4.5 toneladas\nDieta: plantas fibrosas\nPuntuaci: %d\n\nEs peligroso si\nse lo hiere.\n\nVista: ={^^\nOlfato: =={^\nOído: ==^^"
STR_VELOCIRAPTOR,"Velociraptor","Velociraptor","Velociraptor","Velocirráptor"
STR_VELOCIRAPTOR_INFO,"Length: 9-15 ft (3-5 m)\n Weight: up to 2 tons\nDiet: large dinosaurs\nScore: %d\n\nExtremely dangerous!\n\nSight: ==^^\nScent: ====\nHearing: ===^","Länge: 3-5 m\n Gewicht: bis zu 2 Tonnen\nErnährung: große Dinosaurier\nPunktzahl: %d\n\nExtrem gefährlich!\n\nSicht: ==^^\nGeruchssinn: ====\nGehor: ===^","Taille: 3 à 5 m\n Poids: jusqu'à 2 tonnes\nRégime alimentaire:\ngros dinosaures\nScore: %d\n\nExtrêmement\ndangereux!\n\nVue: ==^^\nOdorat: ====\nOuïe: ===^","Altura: 3-5 metros\n Peso: hasta 2 toneladas\nDieta: dinosaurios grandes\nPuntuaci: %d\n\n¡Extremadamente\npeligroso!\n\nVista: ==^^\nOlfato: ====\nOído: ===^"
STR_SPINOSAURUS,"Spinosaurus","Spinosaurus","Spinosaure","Espinosaurio"
STR_SPINOSAURUS_INFO,"Length: 32-45 ft (10-14 m)\n Weight: up to 15 tons\nDiet: large dinosaurs\nScore: %d\n\nExtremely dangerous!\n\nSight: ===^\nScent: ==={\nHearing: =={^","Länge: 10-14 m\n Gewicht: bis zu 15 Tonnen\nErnährung: große Dinosaurier\nPunktzahl: %d\n\nExtrem gefährlich!\n\nSicht: ===^\nGeruchssinn: ==={\nGehor: =={^","Taille: 10 à 14 m\n Poids: jusqu'à 15 tonnes\nRégime alimentaire:\ngros dinosaures\nScore: %d\n\nExtrêmement\ndangereux!\n\nVue: ===^\nOdorat: ==={\nOuïe: =={^","Altura: 10-14 metros\n Peso: hasta 15 toneladas\nDieta: dinosaurios grandes\nPuntuaci: %d\n\n¡Extremadamente\npeligroso!\n\nVista: ===^\nOlfato: ==={\nOído: =={^"
STR_CERATOSAURUS,"Ceratosaurus","Ceratosaurus","Ceratosaure","Ceratosaurio"
STR_CERATOSAURUS_INFO,"Length: 24-30 ft (8-10 m)\n Weight: up to 6 tons\nDiet: large dinosaurs\nScore: %d\n\nExtremely dangerous!\n\nSight: ===^\nScent: ====\nHearing: ===^","Länge: 8-10 m\n Gewicht: bis zu 6 Tonnen\nErnährung: große Dinosaurier\nPunktzahl: %d\n\nExtrem gefährlich!\n\nSicht: ===^\nGeruchssinn: ====\nGehor: ===^","Taille: 8 à 10 m\n Poids: jusqu'à 6 tonnes\nRégime alimentaire:\ngros dinosaures\nScore: %d\n\nExtrêmement\ndangereux!\n\nVue: ===^\nOdorat: ====\nOuïe: ===^","Altura: 8-10 metros\n Peso: hasta 6 toneladas\nDieta: dinosaurios grandes\nPuntuaci: %d\n\n¡Extremadamente\npeligroso!\n\nVista: ===^\nOlfato: ====\nOído: ===^"
STR_T_REX,"T-Rex","T-Rex","Tyrannosaure","T. rex"
STR_T_REX_INFO,"Length: 30-42 ft (10-14 m)\n Weight: up to 8 tons\nDiet: Everything that moves\nScore: %d\n\nThe only way to kill T-Rex\nis shooting his eye.\n\nSight: ===^\nScent: ==={\nHearing: ===^","Länge: 10-14 m\n Gewicht: bis zu 8 Tonnen\nErnährung: Alles, was sich\nbewegt\nPunktzahl: %d\n\nDer T-Rex kann nur\ndurch einen Schuss ins\nAuge getötet werden.\n\nSicht: ===^\nGeruchssinn: ==={\nGehor: ===^","Taille: 10 à 14 m\n Poids: jusqu'à 8 tonnes\nRégime alimentaire:\nDévore tout ce qui bouge\nScore: %d\n\nLe seul moyen de tuer\nun tyrannosaure est de\ntirer dans ses yeux.\n\nVue: ===^\nOdorat: ==={\nOuïe: ===^","Altura: 10-14 metros\n Peso: hasta 8 toneladas\nDieta: Todo lo que se mueva\nPuntuaci: %d\n\nLa única manera de\nmatar a un T. rex es\ndispararle en los ojos.\n\nVista: ===^\nOlfato: ==={\nOído: ===^"
STR_PACHYCEPHALLOSAURUS,"Pachycephalosaurus","Pachycephalosaurus","Pachycephalosaure","Paquicefalosaurio"
STR_PACHYCEPHALLOSAURUS_INFO,"Length: 12-18 ft (4-6 m)\n Weight: up to 2 tons\nDiet: plants\nScore: %d\n\nNot dangerous.\n\nSight: =={^\nScent: ={^^\nHearing: ===^","Länge: 4-6 m\n Gewicht: bis zu 2 Tonnen\nErnährung: Pflanzen\nPunktzahl: %d\n\nUngefährlich.\n\nSicht: =={^\nGeruchssinn: ={^^\nGehor: ===^","Taille: 4 à 6 m\n Poids: jusqu'à 2 tonnes\nRégime alimentaire:\nherbivore\nScore: %d\n\nInoffensif.\n\nVue: =={^\nOdorat: ={^^\nOuïe: ===^","Altura: 4-6 metros\n Peso: hasta 2 toneladas\nDieta: plantas\nPuntuaci: %d\n\nNo es peligroso.\n\nVista: =={^\nOlfato: ={^^\nOído: ===^"
STR_AMARGASAURUS,"Amargasaurus","Amargasaurus","Amargasaurus","Amargasaurus"
STR_AMARGASAURUS_INFO,"Length: 24-30 ft (8-10 m)\n Weight: up to 8 tons\nDiet: plants\nScore: %d\n\nNot dangerous.\n\nSight: ==^^\nScent: ===^\nHearing: =={^","Länge: 8-10 m\n Gewicht: bis zu 8 Tonnen\nErnährung: Pflanzen\nPunktzahl: %d\n\nUngefährlich.\n\nSicht: ==^^\nGeruchssinn: ===^\nGehor: =={^","Taille: 8 à 10 m\n Poids: jusqu'à 8 tonnes\nRégime alimentaire:\nherbivore\nScore: %d\n\nInoffensif.\n\nVue: ==^^\nOdorat: ===^\nOuïe: =={^","Altura: 8-10 metros\n Peso: hasta 8 toneladas\nDieta: plantas\nPuntuaci: %d\n\nNo es peligroso.\n\nVista: ==^^\nOlfato: ===^\nOído: =={^"
STR_OVIRAPTOR,"Oviraptor","Oviraptor","Oviraptor","Oviraptor"
STR_OVIRAPTOR_INFO,"Length: 6-9 ft (2-3 m)\n Weight: up to 1 ton\nDiet: everything\nScore: %d\n\nExtremely dangerous!\n\nSight: =={^\nScent: ===^\nHearing: ==^^","Länge: 2-3 m\n Gewicht: bis zu 1 Tonnen\nErnährung: Alles, was\nsich bewegt\nPunktzahl: %d\n\nExtrem gefährlich!\n\nSicht: =={^\nGeruchssinn: ===^\nGehor: ==^^","Taille: 2 à 3 m\n Poids: jusqu'à 1 tonnes\nRégime alimentaire:\nDévore tout ce qui bouge\nScore: %d\n\nExtrêmement\ndangereux!\n\nVue: =={^\nOdorat: ===^\nOuïe: ==^^","Altura: 2-3 metros\n Peso: hasta 1 toneladas\nDieta: Todo lo que se mueva\nPuntuaci: %d\n\n¡Extremadamente\npeligroso!\n\nVista: =={^\nOlfato: ===^\nOído: ==^^"
STR_TROODON,"Troodon","Troodon","Troodon","Troodon"
STR_TROODON_INFO,"Length: 9-15 ft (3-5 m)\n Weight: up to 2 tons\nDiet: large dinosaurs\nScore: %d\n\nExtremely dangerous!\n\nSight: =={^\nScent: ===^\nHearing: =={^","Länge: 3-5 m\n Gewicht: bis zu 2 Tonnen\nErnährung: große Dinosaurier\nPunktzahl: %d\n\nExtrem gefährlich!\n\nSicht: =={^\nGeruchssinn: ===^\nGehor: =={^","Taille: 3 à 5 m\n Poids: jusqu'à 2 tonnes\nRégime alimentaire:\ngros dinosaures\nScore: %d\n\nExtrêmement\ndangereux!\n\nVue: =={^\nOdorat: ===^\nOuïe: =={^","Altura: 3-5 metros\n Peso: hasta 2 toneladas\nDieta: dinosaurios grandes\nPuntuaci: %d\n\n¡Extremadamente\npeligroso!\n\nVista: =={^\nOlfato: ===^\nOído: =={^"
STR_UTAHRAPTOR,"Utahraptor","Utahraptor","Utahraptor","Utahraptor"
STR_UTAHRAPTOR_INFO,"Length: 18-24 ft (6-8 m)\n Weight: up to 3 tons\nDiet: large dinosaurs\nScore: %d\n\nExtremely dangerous!\n\nSight: ===^\nScent: ===^\nHearing: ===^","Länge: 6-8 m\n Gewicht: bis zu 3 Tonnen\nErnährung: große Dinosaurier\nPunktzahl: %d\n\nExtrem gefährlich!\n\nSicht: ===^\nGeruchssinn: ===^\nGehor: ===^","Taille: 6 à 8 m\n Poids: jusqu'à 3 tonnes\nRégime alimentaire:\ngros dinosaures\nScore: %d\n\nExtrêmement\ndangereux!\n\nVue: ===^\nOdorat: ===^\nOuïe: ===^","Altura: 6-8 metros\n Peso: hasta 3 toneladas\nDieta: dinosaurios grandes\nPuntuaci: %d\n\n¡Extremadamente\npeligroso!\n\nVista: ===^\nOlfato: ===^\nOído: ===^"
STR_CARNOTAURUS,"Carnotaurus","Carnotaurus","Carnotaurus","Carnotaurus"
STR_CARNOTAURUS_INFO,"Length: 25-30 ft (8-9 m)\n Weight: up to 3 tons\nDiet: Meat,\nperhaps other dinosaurs\nScore: %d\n\nExtremely dangerous!\n\nSight: =={^\nScent: ={^^\nHearing: ===^","Länge: 8-9 m\n Gewicht: bis zu 3 Tonnen\nErnährung: Fleisch, vielleicht\nauch andere dinosaurus\nPunktzahl: %d\n\nExtrem gefährlich!\n\nSicht: ==^^\nGeruchssinn: ===^\nGehor: =={^","Taille: 8 à 9 m\n Poids: jusqu'à 3 tonnes\nRégime alimentaire:\nViande, peut-être autres\ndinosaures\nScore: %d\n\nExtrêmement\ndangereux!\n\nVue: ==^^\nOdorat: ===^\nOuïe: =={^","Altura: 8-9 metros\n Peso: hasta 3 toneladas\nDieta: Carne, quizás\notros dinosaurios\nPuntuaci: %d\n\n¡Extremadamente\npeligroso!\n\nVista: ==^^\nOlfato: ===^\nOído: =={^"
STR_COELOPHYSIS,"Coelophysis","Coelophysis","Coelophysis","Coelophysis"
STR_COELOPHYSIS_INFO,"Length: 6-9 ft (2-3 m)\n Weight: up to 30 kg\nDiet: Meat,\nperhaps other dinosaurs\nScore: %d\n\nDangerous if disturbed.\n\nSight: ==^^\nScent: ===^\nHearing: =={^","Länge: 2-3 m\n Gewicht: bis zu 0.03 Tonnen\nErnährung: große Dinosaurier\nPunktzahl: %d\n\nGefährlich, wenn seine\nRuhe gestört wird.\n\nSicht: =={^\nGeruchssinn: ===^\nGehor: =={^","Taille: 2 à 3 m\n Poids: jusqu'à 0.03 tonnes\nRégime alimentaire:\nViande, peut-être autres\ndinosaures\nScore: %d\n\nDangereux quand.\nil est dérangé.\n\nVue: =={^\nOdorat: ===^\nOuïe: =={^","Altura: 2-3 metros\n Peso: hasta 0.03 toneladas\nDieta: Carne, quizás\notros dinosaurios\nPuntuaci: %d\n\nEs peligroso si se lo\nmolesta.\n\nVista: =={^\nOlfato: ===^\nOído: =={^"
STR_IGUANODON,"Iguanodon","Iguanodon","Iguanodon","Iguanodon"
STR_IGUANODON_INFO,"Length: 12-18 ft (6-9 m)\n Weight: up to 4.5 tons\nDiet: plants\nScore: %d\n\nDangerous if wounded.\n\nSight: =={^\nScent: ===^\nHearing: ==^^","Länge: 9 m\n Gewicht: bis zu 4.5 Tonnen\nErnährung: Fleisch und \noder Pflanzen\nPunktzahl: %d\n\nGefährlich wenn\nverwundet.\n\nSicht: ===^\nGeruchssinn: ===^\nGehor: ===^","Taille: 6 à 9 m\n Poids: jusqu'à 4.5 tonnes\nRégime alimentaire:\nherbivore\nScore: %d\n\nDangereux quand.\nil est blessé.\n\nVue: =={^\nOdorat: ===^\nOuïe: ==^^","Altura: 6-9 metros\n Peso: hasta 4.5 toneladas\nDieta: plantas\nPuntuaci: %d\n\nEs peligroso si se lo\nhiere.\n\nVista: =={^\nOlfato: ===^\nOído: ==^^"
STR_GIGANTORAPTOR,"Gigantoraptor","Gigantoraptor","Gigantoraptor","Gigantoraptor"
STR_GIGANTORAPTOR_INFO,"Length: 26 ft (8 m)\n Weight: up to 2 tons\nDiet: meat and plants\nScore: %d\n\nExtremely dangerous!\n\nSight: =={^\nScent: ===^\nHearing: =={^","Länge: 8 m\n Gewicht: bis zu 2 Tonnen\nErnährung: Fleisch und \noder Pflanzen\nPunktzahl: %d\n\nExtrem gefährlich!\n\nSicht: ===^\nGeruchssinn: ===^\nGehor: ===^","Taille: 8 m\n Poids: jusqu'à 2 tonnes\nRégime alimentaire:\nviande et ou de plantes\nScore: %d\n\nExtrêmement\ndangereux!\n\nVue: ===^\nOdorat: ===^\nOuïe: ===^","Altura: 8 metros\n Peso: hasta 2 toneladas\nDieta: carne y/o\nplantas\nPuntuaci: %d\n\n¡Extremadamente\npeligroso!\n\nVista: ===^\nOlfato: ===^\nOído: ===^"
STR_EVACUATION_1,"Preparing for evacuation...","Evakuierung wird vorbereitet ...","Préparation à l'évacuation...","Preparando para evacuar..."
STR_EVACUATION_2,"%d seconds left.","Noch %d Sekunden.","encore %d seconde(s).","Restan %d segundos."
STR_FACEBOOK_LOGIN,"[LOGIN TO FACEBOOK]","[BEI FACEBOOK EINLOGGEN]","[CONNEXION À FACEBOOK]","[INGRESAR A FACEBOOK]"
STR_FACEBOOK_LOGOUT,"[LOGOUT FROM FACEBOOK]","[AUS FACEBOOK AUSLOGGEN]","[DÉCONNEXION DE FACEBOOK]","[SALIR DE FACEBOOK]"
STR_FEW_PTS_POPUP_GET,"get credits","erhalten","obtenir","obten"
STR_FEW_PTS_POPUP_SKIP,"Skip","Auslassen","Passer","Omitir"
STR_FIRING_METHOD,"FIRING METHOD","FEUERMETHODE","MÉTHODE DE TIR","MÉTODO DE DISPARO"
STR_FULL_INFO,"#6full game info!","Alle Infos zum Spiel!","#6Toutes les infos sur le jeu!","#6¡Información completa del juego!"
STR_GAME_ESCAPE,"ESCAPE!","FLUCHT!","FUIR!","¡ESCAPAR!"
STR_GAME_EXIT,"EXIT","BEENDEN","QUITTER","SALIR"
STR_GAME_MENU,"menu","menü","menu","menú"
STR_GAME_OPTIONS,"OPTIONS","OPTIONEN","OPTIONS","OPCIONES"
STR_GAME_RELOCATE,"RELOCATE","UMZUG","TRANSFERT","TRASLADAR"
STR_GAME_RESTART,"RESTART","NEUSTART","RÉESSAYER","REINICIAR"
STR_GAME_RESULTS,"GAME RESULTS:","SPIELERGEBNISSE:","RESULTATS:","RESULTADOS DEL JUEGO:"
STR_GAME_RESUPPLY,"RESUPPLY","AUSRÜSTEN","RAVITAILLER","REPONER"
STR_GAME_STATISTICS,"STATS","STATISTIK","STATISTIQUE","ESTADÍSTICA"
STR_GO,"go","LOS","ALLEZ","AVANZAR"
STR_HELP,"help","HILFE","AIDE","AYUDA"
STR_HELP_CONTROLS,"controls","STEUERUNG","COMMANDES","CONTROLES"
STR_HELP_DINOPEDIA,"dinopedia","DINOPEDIA","DINOPÉDIE","DINOPEDIA"
STR_HELP_HUNTING,"hunting","JAGD","LA CHASSE","CACERÍA"
STR_HIGH,"HIGH","HOCH","ÉLEVÉE","ALTA"
STR_HUNT,"hunt","JAGD","CHASSER","CACERÍA"
STR_IMPERIAL,"IMPERIAL","BRITISCH","IMPÉRIALES","IMPERIAL"
STR_INVERT_HORIZONTAL,"INVERT CAMERA X","X-ACHSE UMKEHREN","INVERSION CAMÉRA X","INVERTIR CÁMARA EJE X"
STR_INVERT_VERTICAL,"INVERT CAMERA Y","Y-ACHSE UMKEHREN","INVERSION CAMÉRA Y","INVERTIR CÁMARA EJE Y"
STR_ESCAPED,"YOU'VE SUCCESSFULLY ESCAPED!","EURE FLUCHT WAR ERFOLGREICH!","TU AS RÉUSSI À T'ECHAPPER!","¡HAS ESCAPADO EXITOSAMENTE!"
STR_KILLED_BEAR,"YOU'VE BEEN KILLED BY A BEAR!","IHR WURDET VON EINEM BäR GETÖTET!","TU AS ÉTÉ TUÉ PAR UN OURS!","¡TE HA MATADO UN OSO!"
STR_KILLED_BIGFOOT,"YOU'VE BEEN KILLED BY THE YETI!","IHR WURDET VON EINEM DER YETI GETÖTET!","TU AS ÉTÉ TUÉ PAR UN YÉTI!","¡TE HA MATADO UN PIE GRANDE!"
STR_KILLED_BRONTOTERIY,"YOU'VE BEEN KILLED BY A BRONTOTERIY!","IHR WURDET VON EINEM BRONTOTHERIA GETÖTET!","TU AS ÉTÉ TUÉ PAR UN BRONTOTERIY!","¡TE HA MATADO UN BRONTOTERIOS!"
STR_KILLED_DEER,"YOU'VE BEEN KILLED BY A MEGALOCEROS!","IHR WURDET VON EINEM RIESENHIRSCH GETÖTET!","TU AS ÉTÉ TUÉ PAR UN MEGALOCÉROS!","¡TE HA MATADO UN MEGALOCERO!"
STR_KILLED_DIATRYMA,"YOU'VE BEEN KILLED BY A DIATRYMA!","IHR WURDET VON EINEM GASTORNIS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN DIATRYMA!","¡TE HA MATADO UN DIATRYMA!"
STR_KILLED_OVIRAPTOR,"YOU'VE BEEN KILLED BY OVIRAPTOR!","IHR WURDET VON EINEM OVIRAPTOR GETÖTET!","TU AS ÉTÉ TUÉ PAR UN OVIRAPTOR!","¡TE HA MATADO UN OVIRAPTOR!"
STR_KILLED_TROODON,"YOU'VE BEEN KILLED BY TROODON!","IHR WURDET VON EINEM TROODON GETÖTET!","TU AS ÉTÉ TUÉ PAR UN TROODON!","¡TE HA MATADO UN TROODON!"
STR_KILLED_UTAHRAPTOR,"YOU'VE BEEN KILLED BY UTAHRAPTOR!","IHR WURDET VON EINEM UTAHRAPTOR GETÖTET!","TU AS ÉTÉ TUÉ PAR UN UTHARAPTOR!","¡TE HA MATADO UN UTHARAPTOR!"
STR_KILLED_CARNOTAURUS,"YOU'VE BEEN KILLED BY CARNOTAURUS!","IHR WURDET VON EINEM CARNOTAURUS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN CARNOTAURUS!","¡TE HA MATADO UN CARNOTAURUS!"
STR_KILLED_COELOPHYSIS,"YOU'VE BEEN KILLED BY COELOPHYSIS!","IHR WURDET VON EINEM COELOPHYSIS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN COELOPHYSIS!","¡TE HA MATADO UN COELOPHYSIS!"
STR_KILLED_IGUANODON,"YOU'VE BEEN KILLED BY IGUANODON!","IHR WURDET VON EINEM IGUANODON GETÖTET!","TU AS ÉTÉ TUÉ PAR UN IGUANODON!","¡TE HA MATADO UN IGUANODON!"
STR_KILLED_GIGANTORAPTOR,"YOU'VE BEEN KILLED BY GIGANTORAPTOR!","IHR WURDET VON EINE0IGANTORAPTOR GETÖTET!","TU AS ÉTÉ TUÉ PAR UN GIGANTORAPTOR!","¡TE HA MATADO UN GIGANTORAPTOR!"
STR_KILLED_ALLOSAURUS,"YOU'VE BEEN KILLED BY ALLOSAURUS!","IHR WURDET VON EINEM ALLOSAURUS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN ALLOSAURE!","¡TE HA MATADO UN ALOSAURIO!"
STR_KILLED_CHASMOSAURUS,"YOU'VE BEEN KILLED BY CHASMOSAURUS!","IHR WURDET VON EINEM CHASMOSAURUS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN CHASMOSAURE!","¡TE HA MATADO UN CHASMOSAURIO!"
STR_KILLED_VELOCIRAPTOR,"YOU'VE BEEN KILLED BY VELOCIRAPTOR!","IHR WURDET VON EINEM VELOCIRAPTOR GETÖTET!","TU AS ÉTÉ TUÉ PAR UN VELOCIRAPTOR!","¡TE HA MATADO UN VELOCIRRÁPTOR!"
STR_KILLED_SPINOSAURUS,"YOU'VE BEEN KILLED BY SPINOSAURUS!","IHR WURDET VON EINEM SPINOSAURUS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN SPINOSAURE!","¡TE HA MATADO UN ESPINOSAURIO!"
STR_KILLED_CERATOSAURUS,"YOU'VE BEEN KILLED BY CERATOSAURUS!","IHR WURDET VON EINEM CERATOSAURUS GETÖTET!","TU AS ÉTÉ TUÉ PAR UN CERATOSAURE!","¡TE HA MATADO UN CERATOSAURIO!"
STR_KILLED_T_REX,"YOU'VE BEEN KILLED BY T-REX!","IHR WURDET VON EINEM T-REX GETÖTET!","TU AS ÉTÉ TUÉ PAR UN TYRANNOSAURE!","¡TE HA MATADO UN T. Rex!"
STR_KILLED_FOG,"YOU'VE BEEN MELTED IN LAVA!","IHR WURDET IN DER LAVA GERÖSTET!","TU AS BRÛLÉ DANS LA LAVE!","¡TE HAS FUNDIDO EN LAVA!"
STR_KILLED_HYAENODON,"YOU'VE BEEN KILLED BY A HYAENODON!","IHR WURDET VON EINEM HYAENODON GETÖTET!","TU AS ÉTÉ TUÉ PAR UN HYAENODON!","¡TE HA MATADO UN HYAENODON!"
STR_KILLED_INDRICOTHERE,"YOU'VE BEEN KILLED BY THE INDRICOTHERIUM!","IHR WURDET VON EINEM INDRICOTHERIUM GETÖTET!","TU AS ÉTÉ TUÉ PAR UN INDRICOTHERIUM!","¡TE HA MATADO UN INDRICOTHERIUM!"
STR_KILLED_MAMMOTH,"YOU'VE BEEN KILLED BY A MAMMOTH!","IHR WURDET VON EINEM MAMMUT GETÖTET!","TU AS ÉTÉ TUÉ PAR UN MAMMOUTH!","¡TE HA MATADO UN MAMUT!"
STR_KILLED_RHINOCEROS,"YOU'VE BEEN KILLED BY A RHINOCEROS!","IHR WURDET VON EINEM WOLLNASHORN GETÖTET!","TU AS ÉTÉ TUÉ PAR UN RHINOCÉROS LAINEUX!","¡TE HA MATADO UN RINOCERONTE LANUDO!"
